range [25137,27202] : 104177726
range [8920,11692] : 138745706
range [58930,78410] : 977176359
range [46353,47521] : 57835478
range [72951,79915] : 347781227
range [11363,71468] : 7291952
range [57837,86109] : 418905503
range [17744,38286] : 23933530
range [68779,71956] : 161183593
range [23358,57488] : 706121343
range [24928,41880] : 849497666
range [22370,85246] : 146014385
range [5724,80509] : 741665942
range [66688,75032] : 419140999
range [78379,81208] : 144017016
range [19381,23198] : 188431186
range [55051,84023] : 448526037
range [88257,88395] : 7325683
range [18126,54106] : 797376389
range [65913,72698] : 341739982
range [82225,87641] : 268366632
range [56038,76311] : 14071692
range [41000,77383] : 816663029
range [80809,82008] : 62178206
range [33291,59938] : 331112482
range [71467,76157] : 232761657
range [64553,87632] : 156562071
range [66139,80470] : 719342481
range [27869,68861] : 49161344
range [23366,73888] : 526730603
range [14018,17335] : 167459067
range [7924,70703] : 141079211
range [17365,38401] : 49099557
range [38434,47585] : 459582109
range [60085,62593] : 126949726
range [15095,51339] : 810470202
range [11280,30445] : 959630790
range [21520,66780] : 262084866
range [70201,83651] : 671790793
range [29479,82680] : 659597023
range [87180,87656] : 23303863
range [39705,62591] : 142202186
range [16892,27663] : 537241105
range [52074,85962] : 698152198
range [18847,22207] : 165910069
range [56117,71823] : 787313145
range [17284,84691] : 369260888
range [73036,88430] : 769137963
range [74039,83923] : 494930933
range [59281,79788] : 29634257
range [53949,69529] : 778219064
range [80156,82652] : 124721118
range [87964,88069] : 5596314
range [11417,13080] : 83346358
range [69684,87477] : 890458699
range [67086,78564] : 574676062
range [7423,53348] : 297426851
range [25211,49263] : 201792598
range [31285,62579] : 563517987
range [8104,60619] : 625364829
range [80311,86542] : 312035917
range [1277,87049] : 289057164
range [64739,88010] : 165531923
range [79617,84015] : 219410523
range [10086,11007] : 46654116
range [49399,51960] : 128053568
range [73707,88904] : 760973128
range [63291,75466] : 610074095
range [88545,89377] : 40759412
range [16769,22960] : 306982449
range [66790,76052] : 464312637
range [69656,69951] : 15545464
range [25860,50269] : 219988579
range [24535,62337] : 888921862
range [83620,85430] : 91574488
range [50309,67712] : 870972609
range [83398,88276] : 243130311
range [14733,28142] : 670767123
range [10088,69097] : 950524796
range [32766,68764] : 801124905
range [51828,68245] : 821726697
range [73724,75738] : 100709613
range [80141,88547] : 419412561
range [56390,58036] : 80659586
range [30615,84114] : 675332107
range [62185,63970] : 88908260
range [7136,45870] : 940069456
range [17192,63217] : 297706971
range [71203,78267] : 351278010
range [5229,72790] : 379074967
range [48133,79679] : 578898047
range [65173,74819] : 484161172
range [50583,71726] : 59718507
range [43431,82410] : 949951285
range [41477,45063] : 180114844
range [30933,45972] : 753672503
range [76272,83531] : 364359215
range [50584,70334] : 990092996
range [87684,88420] : 36673809
range [11506,45572] : 705075555
range [53915,62248] : 414572518
range [20992,71684] : 535501500
range [75261,89379] : 705201005
range [86546,89247] : 133534959
range [78653,83389] : 238440817
range [26625,27378] : 38388318
range [2769,87486] : 235450690
range [32419,58232] : 287964188
range [59349,62864] : 178098820
range [52890,65623] : 636244532
range [31835,75850] : 200540782
range [31730,66829] : 753681815
range [41407,75264] : 692448033
range [60302,70627] : 519689279
range [17108,48117] : 548565077
range [31174,58547] : 365861871
range [62238,88197] : 299441391
range [25749,57975] : 608272520
range [86387,88701] : 114179303
range [14601,41400] : 340594812
range [47572,52303] : 234473911
range [5418,64401] : 946605714
range [21168,54449] : 663758195
range [15369,17160] : 90287301
range [45011,73002] : 398927006
range [41890,78610] : 834260405
range [28799,86964] : 908671392
range [70432,73403] : 147360486
range [56084,73814] : 886731229
range [41444,87267] : 291188381
range [17604,37230] : 978154609
range [11818,62630] : 539629355
range [8144,87858] : 986333633
range [40361,53632] : 663023795
range [18193,73657] : 770879314
range [85485,88983] : 173895940
range [57725,64824] : 355393709
range [7495,70784] : 167640502
range [31615,66382] : 736587067
range [13556,26494] : 645749793
range [35400,88611] : 660364918
range [37863,77636] : 989241535
range [86255,89293] : 149640626
range [57239,79459] : 112760442
range [69801,76152] : 316850246
range [51015,79715] : 437850160
range [7804,25065] : 862906623
range [69241,78449] : 460328600
range [54157,57219] : 151552635
range [39893,53802] : 694781680
range [2242,38104] : 789963536
range [59385,81525] : 113372942
range [59993,77320] : 869118488
range [70624,85013] : 719042071
range [2614,40821] : 910042975
range [53962,64551] : 526994986
range [64597,72693] : 407668496
range [58939,88952] : 504762258
range [73226,88242] : 750080403
range [23222,51934] : 435042769
range [9913,61720] : 588653641
range [77884,89096] : 561684339
range [42095,87869] : 287288208
range [35446,53245] : 888115361
range [11008,46452] : 772784611
range [18504,78493] : 997304016
range [78208,85809] : 383071889
range [14606,24554] : 496559204
range [85540,86419] : 44665273
range [32809,70834] : 904798038
range [78662,81072] : 123701887
range [8908,21223] : 615570283
range [73635,88332] : 734983180
range [20259,74429] : 708081001
range [73631,78643] : 250004213
range [8409,33457] : 251691886
range [88279,89011] : 37501493
range [65127,73272] : 408922428
range [43975,87042] : 152280298
range [73477,78790] : 264651930
range [56458,74640] : 911589954
range [26249,35334] : 455704861
range [25660,55170] : 476234781
range [73825,84891] : 554344754
range [62807,85641] : 145227382
range [30388,75613] : 259424593
range [86563,88680] : 105091984
range [41997,50671] : 430958580
range [47238,83424] : 809263634
range [58195,84175] : 302969175
range [6545,70474] : 198569882
range [75621,88676] : 654704105
range [18892,20118] : 59684006
range [17255,48759] : 571695199
range [52318,76229] : 196082167
range [30630,80463] : 492575197
range [13023,54445] : 70463949
range [8729,28155] : 972847159
range [53690,67496] : 690434654
range [74131,77269] : 156847829
range [80603,89075] : 421933979
range [12537,29077] : 829786567
range [19186,32162] : 646294947
range [43924,54485] : 525445408
range [61379,78778] : 870560738
range [10243,80925] : 534897325
range [44987,61914] : 842934824
range [78,70971] : 544101324
range [12515,85126] : 631040627
range [26925,85764] : 943929641
range [77751,87054] : 467057425
range [88086,88360] : 13531754
range [29025,32880] : 189517343
range [31727,82843] : 557009124
range [83785,87611] : 191421085
range [39395,77578] : 908892540
range [25200,36850] : 582321723
range [74420,88076] : 682601792
range [31720,89294] : 878337342
range [60254,78486] : 913336191
range [1837,30889] : 451689308
range [48560,76681] : 406344608
range [46583,69943] : 167262476
range [80157,89033] : 442099852
range [12624,73571] : 47087040
range [54718,88286] : 677587550
range [83316,87648] : 215977569
range [44387,52011] : 377810957
range [35411,82300] : 345918438
range [36730,42213] : 276189781
range [32626,42860] : 514991559
range [56257,74847] : 930495121
range [18540,50878] : 614142925
range [21962,73231] : 564830781
range [1028,69961] : 445736520
range [15590,79003] : 168152375
range [52423,61848] : 470570799
range [28531,44794] : 813816714
range [24180,62282] : 903063824
range [19857,73899] : 701207568
range [15263,75432] : 6558470
range [44615,88783] : 206466264
range [12909,42350] : 473487019
range [26749,73522] : 338589001
range [24910,44387] : 976809242
range [9756,88357] : 929176247
range [74352,84690] : 517476297
range [39506,48672] : 456572734
range [8694,35047] : 318975254
range [60887,67561] : 334781186
range [30319,85503] : 759781093
range [61060,82086] : 56203075
range [88788,88871] : 4042041
range [62203,71506] : 468716653
range [64851,88796] : 198857412
range [55660,69750] : 705715032
range [48094,80067] : 599537800
range [86767,87796] : 50240106
range [47366,77017] : 481395561
range [464,75924] : 771694012
range [50870,84185] : 667088003
range [71410,74262] : 141536807
range [17182,29631] : 622702921
range [7214,21750] : 727276777
range [29075,83090] : 699123047
range [35278,84625] : 467322430
range [33226,57791] : 226969901
range [51622,72291] : 36842252
range [76652,78848] : 109575569
range [55051,72247] : 861172788
range [20165,38176] : 899386285
range [13554,38152] : 228131022
range [69757,79449] : 484337740
range [85187,86266] : 55366436
range [20571,50571] : 498991611
range [57319,62933] : 281363947
range [47874,59663] : 585945905
range [84391,88198] : 188746222
range [51859,60363] : 425396272
range [7297,76558] : 463496587
range [54169,87473] : 665377385
range [10278,74154] : 193896273
range [50968,75975] : 251603498
range [21571,49110] : 376086240
range [5227,18022] : 641439849
range [7494,80877] : 672650820
range [15025,38326] : 163345277
range [33762,63534] : 486835627
range [65013,74613] : 482255988
range [82953,87191] : 211576245
range [63037,63239] : 10028893
range [9576,18129] : 429393237
range [67511,81122] : 683019228
range [46378,76782] : 518156870
range [6745,23690] : 847774251
range [61357,80914] : 980728104
range [51294,68724] : 871880202
range [68455,79392] : 548112244
range [49101,56994] : 395083521
range [28495,57638] : 454513019
range [31383,72782] : 71107183
range [44957,51113] : 304439256
range [43985,56531] : 623592317
range [80764,81875] : 56679396
range [5818,58635] : 638974983
range [67221,67340] : 6109010
range [87322,88466] : 56560646
range [6431,55898] : 473246823
range [20174,43393] : 162591913
range [78914,89269] : 517905546
range [25175,78665] : 673965725
range [70588,72160] : 79801647
range [34440,57553] : 153865097
range [30484,60246] : 485680276
range [87844,88150] : 14784916
range [38749,41598] : 143372929
range [13380,60993] : 379142649
range [48374,85118] : 838437494
range [7175,29640] : 126514304
range [73262,78860] : 279075855
range [16057,57255] : 57444064
range [13876,59559] : 280446607
range [11709,45450] : 689933841
range [47657,57933] : 509981480
range [71325,78787] : 371247531
range [87332,88699] : 68283862
range [85254,87449] : 109047383
range [56424,58239] : 89103359
range [57202,78069] : 44195296
range [85827,87356] : 74572827
range [47577,64809] : 859302845
range [87122,87380] : 12508713
range [24018,28528] : 226431061
range [71790,79516] : 385639378
range [57329,78345] : 52288735
range [82221,87267] : 249727450
range [74706,86009] : 566614234
range [21333,21775] : 21624657
range [41056,47933] : 342522315
range [40930,46894] : 296531413
range [15835,66549] : 533718510
range [41887,67411] : 275397245
range [48108,83670] : 778595134
range [82075,84990] : 142728447
range [10985,42387] : 571582311
range [24100,79479] : 769749182
range [51977,54685] : 136918214
range [63070,70191] : 358382177
range [88224,89283] : 53281115
range [53248,56699] : 171767712
range [32101,43286] : 561965224
range [60255,65889] : 282115138
range [35732,49343] : 677840892
range [4239,69545] : 265062683
range [28221,63308] : 751521180
range [81384,83466] : 102579030
range [52783,75890] : 155609693
range [39683,49946] : 511712087
range [20078,25340] : 262868427
range [62785,80412] : 883813036
range [6248,59778] : 676242373
range [36270,40803] : 227584703
range [58726,79488] : 41399517
range [51552,71748] : 12386779
range [62218,72984] : 541069876
range [11836,74394] : 128640242
range [77679,78413] : 36856320
range [76486,82958] : 325173008
range [86699,87769] : 52062666
range [65552,83349] : 891258090
range [48776,87033] : 915497869
range [1266,43045] : 89813153
range [89351,89368] : 810936
range [48488,83630] : 758612346
range [38793,39900] : 56624324
range [28759,54429] : 282111456
range [60336,66502] : 308518169
range [68619,85840] : 864232501
range [64750,73553] : 441716806
range [63008,88135] : 256446021
range [67342,87682] : 16976324
range [82302,85873] : 178111282
range [10722,73459] : 137436648
range [40303,70182] : 494132773
range [14503,52468] : 898719397
range [47744,89073] : 65261458
range [12398,63626] : 560602227
range [81829,82300] : 23791200
range [63999,72581] : 432734129
range [42121,63464] : 64126777
range [63069,80141] : 856299935
range [76735,87259] : 527225951
range [76211,79155] : 147207910
range [81765,82386] : 31249365
range [19002,50825] : 588778415
range [30019,76937] : 345083261
range [20869,75944] : 753929462
range [85927,87556] : 78818773
range [34392,87335] : 647414788
range [34757,67716] : 647935635
range [45859,56471] : 526999335
range [12041,40912] : 446292823
range [69032,88291] : 961821953
range [8734,30450] : 86800178
range [71146,84181] : 650615507
range [86479,89365] : 141677328
range [19765,57069] : 864443928
range [133,34422] : 712700143
range [11130,28614] : 875324292
range [60071,76002] : 798451693
range [47311,79797] : 624521188
range [30803,54825] : 201217187
range [12731,44439] : 587825051
range [4826,21173] : 816666571
range [4818,51626] : 339383809
range [78137,83481] : 268085466
range [28041,61324] : 662597361
range [69396,71944] : 129299118
range [45234,69424] : 208157707
range [18958,75203] : 811721201
range [59598,83314] : 189147126
range [15582,43916] : 417783246
range [64652,71136] : 326953763
range [14816,32848] : 899427276
range [6292,7684] : 69639507
range [44892,53179] : 412542724
range [61515,76153] : 733080672
range [14414,17155] : 138803027
range [6244,62422] : 809566796
range [71676,88368] : 832734689
range [59495,78733] : 963450454
range [10322,18219] : 396449566
range [84920,86199] : 65894091
range [64232,75386] : 559678549
range [2910,8343] : 270112552
range [2133,60377] : 910024573
range [56329,77196] : 43825615
range [53752,64099] : 515021523
range [83614,86490] : 145398653
range [22521,61985] : 972908178
range [6978,58814] : 590518559
range [28000,72844] : 243836437
range [6329,27877] : 78751636
range [36997,86666] : 485908119
range [30139,42463] : 617363586
range [61907,67323] : 271893935
range [80519,80695] : 8664736
range [52213,63759] : 576810700
range [76881,84491] : 381904850
range [79062,83307] : 214083510
range [4749,24133] : 969148911
range [6913,83639] : 837481016
range [3859,11879] : 400193954
range [39200,81961] : 141351881
range [30333,88357] : 900482446
range [47048,52667] : 280742036
range [54029,70721] : 835821948
range [58221,58368] : 7318232
range [35478,84613] : 456127185
range [88418,88676] : 13514607
range [31604,81047] : 473823904
range [42397,55945] : 675199771
range [63686,79456] : 790191226
range [83787,85433] : 82884184
range [68217,86176] : 901040942
range [36140,38049] : 93489541
range [62598,69083] : 325462732
range [10277,87503] : 861627202
range [42725,52953] : 509972803
range [3147,69172] : 300439528
range [33841,60145] : 313954199
range [16023,19183] : 158540381
range [11361,50762] : 969141891
range [43138,52823] : 482405845
range [14174,35804] : 82762030
range [88656,88685] : 1554022
range [29741,80900] : 558233756
range [47201,50828] : 179714970
range [31546,59878] : 414749696
range [69862,81749] : 595753050
range [33621,46928] : 666613367
range [78163,78655] : 24121754
range [34548,73179] : 932478483
range [53470,65082] : 578779921
range [74665,85115] : 521947697
range [57852,81369] : 180652852
range [73889,81359] : 376087185
range [69084,75679] : 328555483
range [38381,44058] : 287462690
range [57492,63080] : 280075751
range [693,85205] : 226205722
range [54509,62497] : 398806206
range [56328,68309] : 599309472
range [62642,72673] : 503767244
range [6609,49837] : 162244783
range [86206,87652] : 69609239
range [46538,81930] : 771907947
range [30885,49526] : 930912571
range [79307,82177] : 146839633
range [88002,88788] : 40002448
range [52508,77994] : 273831535
range [75056,80367] : 265737810
range [43040,70076] : 351044874
range [37510,77633] : 7784264
range [44426,84993] : 26360112
range [38178,61702] : 176662450
range [3109,76293] : 658094392
range [7188,54943] : 389888397
range [41873,49182] : 363315944
range [21303,59804] : 924044160
range [72211,73376] : 56482947
range [75112,78698] : 177022313
range [10194,13533] : 167315146
range [80544,83930] : 167430334
range [20532,33481] : 647395209
range [15507,46761] : 562516938
range [9776,81319] : 579369249
range [49875,53007] : 157423560
range [17311,47953] : 531626336
range [48272,53295] : 251595476
range [30124,47662] : 877815639
range [84058,85257] : 60837988
range [29575,63926] : 714505940
range [87449,89154] : 84208487
range [32568,57182] : 231155658
range [48161,75171] : 351561081
range [89269,89303] : 1671397
range [14618,18243] : 182749124
range [83152,85391] : 112046984
range [64094,70798] : 339149821
range [7071,44053] : 853382837
range [18172,67380] : 458957100
range [50759,81549] : 543860788
range [56336,80384] : 204446726
range [14526,85419] : 545656042
range [60315,62893] : 129747138
range [55140,61396] : 311338291
range [57716,61419] : 185964315
range [35701,71007] : 765578251
range [37669,81635] : 202785993
range [19802,57851] : 900500400
range [24587,61352] : 838262208
range [36785,54160] : 869665012
range [19773,86090] : 318386438
range [9160,18636] : 475583798
range [1891,59302] : 866452572
range [88354,88765] : 21365527
range [55329,66107] : 537748756
range [1327,32548] : 558420436
range [63507,71418] : 398697176
range [2023,10672] : 431049545
range [48818,74657] : 294238495
range [76420,77929] : 75229542
range [40228,81909] : 86152834
range [55176,78159] : 148219219
range [53630,84683] : 553037566
range [24353,54043] : 484924221
range [84319,84967] : 32344475
range [15300,26971] : 582586101
range [6349,17348] : 552836459
range [61691,83021] : 68823673
range [31170,74157] : 149371333
range [11846,64004] : 606362447
range [43603,44662] : 52975820
range [36371,73863] : 873970973
range [80784,81006] : 11057307
range [28011,73174] : 258804373
range [32523,83430] : 547609880
range [68389,80651] : 616048384
range [42553,86365] : 191462438
range [9127,72562] : 173982248
range [41287,64053] : 134788614
range [22271,36581] : 716263035
range [25967,29433] : 176417538
range [16828,46789] : 496902986
range [88430,88539] : 5760236
range [79226,83043] : 191793053
range [10516,28863] : 919149329
range [6829,62445] : 780425977
range [45671,75355] : 482318813
range [14521,83712] : 459798869
range [53144,71488] : 919553523
range [43662,56082] : 618459016
range [49181,55532] : 318746361
range [27818,52885] : 253397213
range [68430,78093] : 483482866
range [60638,88883] : 412556053
range [11811,15181] : 169486117
range [63359,77566] : 711774752
range [51461,82873] : 572915295
range [62897,68359] : 273098530
range [24149,48456] : 214480605
range [73856,75107] : 64054234
range [1979,46645] : 232935986
range [966,30672] : 484522512
range [54063,79643] : 280225535
range [43627,46946] : 163843454
range [88828,88923] : 4634106
range [74190,81842] : 385308390
range [44658,54779] : 504251737
range [80709,81825] : 56400183
range [59498,64171] : 234080581
range [39682,74659] : 748981412
range [71873,85178] : 664375083
range [50782,63608] : 641243427
range [2265,47588] : 265809308
range [49990,57494] : 374214812
range [44748,60222] : 770506471
range [19230,31298] : 601574273
range [60045,85286] : 265897237
range [48467,71850] : 171936765
range [24216,52736] : 425663724
range [83793,89155] : 267069396
range [78983,81962] : 153449702
range [54351,82713] : 419793198
range [48521,76876] : 418529065
range [82579,86890] : 214591387
range [57623,76422] : 941177164
range [39908,80439] : 27462862
range [40432,60340] : 994082423
range [29593,58722] : 452592195
range [23876,43353] : 976340273
range [72094,77197] : 252688301
range [69549,74895] : 267866733
